M&A SDC Deal Number,Date Announced,Rank Date,"Rank Value inc. Net Debt of Target
(EUR, Millions)",Target Full Name,Target Macro Industry,Target Mid Industry,Target Nation,Acquiror Full Name,Acquiror Macro Industry,Acquiror Mid Industry,Acquiror Nation,"Target Financial Advisor Name
('|')","Acquiror Financial Advisor Name
('|')","Target Net Sales Last 12 Months
(EUR, Millions)","EBITDA Last 12 Months
(EUR, Millions)","Enterprise Value at Announcement
(EUR, Millions, '|')",Target Industry Sector,Target Public Status,,Year
3455131040,19/07/2019,19/07/2019,0.02,Digitech SA,High Technology,Software,France,Investor Group,Financials,Other Financials,France,,,6.36,0.78,2.77,Prepackaged Software,Public,,"2,019.00"
3428811040,12/07/2019,12/07/2019,0.68,Newleaf Brands Inc,Healthcare,Pharmaceuticals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.15,-3.28,2.61,Drugs,Public,,"2,019.00"
3440563040,12/07/2019,12/07/2019,0.01,Atlantic Lumpus AS,Consumer Staples,Agriculture & Livestock,Norway,Lumarine AS,Consumer Staples,Agriculture & Livestock,Norway,,,1.91,0.17,2.60,"Agriculture, Forestry, and Fishing",Public,,"2,019.00"
3429823040,11/07/2019,11/07/2019,2.58,Atlantic Lumpus AS,Consumer Staples,Agriculture & Livestock,Norway,Lumarine AS,Consumer Staples,Agriculture & Livestock,Norway,,,1.91,0.17,2.60,"Agriculture, Forestry, and Fishing",Public,,"2,019.00"
3434831040,11/07/2019,11/07/2019,2.52,Stagezero Life Sciences Ltd,Healthcare,Biotechnology,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.16,-2.97,19.80,Business Services,Public,,"2,019.00"
3427540040,10/07/2019,10/07/2019,1.70,Millrock Resources Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.59,-1.20,3.40,Mining,Public,,"2,019.00"
3473970040,10/07/2019,10/07/2019,5.60,Hermon Hodge Group Ltd,Energy and Power,Oil & Gas,United Kingdom,NWF Fuels Ltd,Energy and Power,Oil & Gas,United Kingdom,Moore & Smalley,,77.92,1.20,5.60,Wholesale Trade-Nondurable Goods,Private,,"2,019.00"
3426472040,08/07/2019,08/07/2019,6.81,Cellcube Energy Storage Systems Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.37,-5.46,8.76,Mining,Public,,"2,019.00"
3430372020,07/07/2019,07/07/2019,5.61,ShiftPixy Inc,Consumer Products and Services,Employment Services,United States,ShiftPixy Inc,Consumer Products and Services,Employment Services,United States,,,44.06,-11.73,18.11,Business Services,Public,,"2,019.00"
3425811040,05/07/2019,05/07/2019,0.13,Hillcrest Petroleum Ltd,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.23,-0.77,4.27,Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3425521040,04/07/2019,04/07/2019,1.56,Cematrix Corp,Materials,Construction Materials,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,5.11,-0.61,7.76,"Stone, Clay, Glass, and Concrete Products",Public,,"2,019.00"
3425603040,04/07/2019,04/07/2019,14.95,Carmanah Technologies Corp,High Technology,Semiconductors,Canada,CMH Acquisition Corp,High Technology,Semiconductors,United States,Capital West Partners,,5.25,0.15,14.95,Electronic and Electrical Equipment,Public,,"2,019.00"
3431423040,04/07/2019,04/07/2019,1.32,German Startups Group GmbH & Co KGaA,Financials,Alternative Financial Investments,Germany,German Startups Group GmbH & Co KGaA,Financials,Alternative Financial Investments,Germany,,,19.30,5.54,16.44,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3425734040,03/07/2019,03/07/2019,0.41,Helio SA,Consumer Staples,Food and Beverage,Poland,Helio SA,Consumer Staples,Food and Beverage,Poland,,,39.39,2.49,14.51,Food and Kindred Products,Public,,"2,019.00"
3434094040,03/07/2019,03/07/2019,0.83,Mene Inc,Consumer Products and Services,Other Consumer Products,Canada,GoldMoney Inc,High Technology,Software,Canada,,,5.07,-3.29,7.21,Miscellaneous Manufacturing,Public,,"2,019.00"
3470428040,03/07/2019,03/07/2019,14.20,Euro Legal Service SRL,Consumer Products and Services,Professional Services,Italy,Cerved Credit Management Group Srl,Financials,Asset Management,Italy,,KPMG,4.85,1.68,11.91,Business Services,Private,,"2,019.00"
3424036040,02/07/2019,02/07/2019,2.89,Kingswood Holdings Ltd,Financials,Asset Management,United Kingdom,KPI (Nominees) Ltd,Financials,Other Financials,United Kingdom,finnCap Ltd,,9.16,-4.31,14.98,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3424439040,02/07/2019,02/07/2019,1.35,SQI Diagnostics Inc,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.22,-4.06,18.06,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,019.00"
3424647020,02/07/2019,02/07/2019,27.25,FFI Holdings PLC,Financials,Credit Institutions,United States,Lumiere Acquisitions Co LLC,Financials,Alternative Financial Investments,United States,finnCap Ltd,Craven Street Capital Ltd,78.59,13.67,17.10,Credit Institutions,Public,,"2,019.00"
3430614040,01/07/2019,01/07/2019,10.00,Hameen Kirjapaino Oy,Media and Entertainment,Publishing,Finland,PunaMusta Media Oyj,Media and Entertainment,Publishing,Finland,PricewaterhouseCoopers,,10.83,2.32,8.35,"Printing, Publishing, and Allied Services",Private,,"2,019.00"
3423511040,28/06/2019,28/06/2019,11.40,Disegno Ceramica SRL,Industrials,Other Industrials,Italy,Mittel SpA,Financials,Alternative Financial Investments,Italy,,,11.19,1.03,18.36,Metal and Metal Products,Private,,"2,019.00"
3424263040,28/06/2019,28/06/2019,0.77,Peeks Social Ltd,High Technology,IT Consulting & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,4.04,-2.96,8.46,Business Services,Public,,"2,019.00"
3422360040,27/06/2019,27/06/2019,0.44,Cymat Technologies Ltd,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.76,-0.75,7.88,Metal and Metal Products,Public,,"2,019.00"
3422645040,27/06/2019,27/06/2019,7.50,Diatex SPA,Industrials,Machinery,Italy,Siti-B&T Group SpA,Industrials,Machinery,Italy,,Clairfield International,10.69,1.56,11.20,Metal and Metal Products,Private,,"2,019.00"
3422130040,26/06/2019,26/06/2019,10.50,IT Auction Srl,Consumer Products and Services,Professional Services,Italy,Illimity Bank SpA,Financials,Banks,Italy,,,8.03,0.50,13.58,Business Services,Private,,"2,019.00"
3422608040,26/06/2019,26/06/2019,3.24,Gambero Rosso SpA,Media and Entertainment,Publishing,Italy,Garage Start Up Srl,Financials,Other Financials,Italy,,,15.61,3.86,19.88,"Printing, Publishing, and Allied Services",Public,,"2,019.00"
3421035040,25/06/2019,25/06/2019,7.80,Societe Pour Lexpansion Des Ventes Des Produits Agricoles Et Alimentaires SA,Media and Entertainment,Advertising & Marketing,France,Hopscotch Groupe SA,Media and Entertainment,Advertising & Marketing,France,,,33.70,-7.54,0.66,Business Services,Private,,"2,019.00"
3422815040,25/06/2019,25/06/2019,9.38,Coreplast Laitila Oy,Materials,Other Materials,Finland,SP Group A/S,Materials,Other Materials,Denmark,PricewaterhouseCoopers,,13.78,1.36,6.65,Rubber and Miscellaneous Plastic Products,Private,,"2,019.00"
3424571040,25/06/2019,25/06/2019,2.55,Info Yatirim Menkul Degerler AS,Financials,Other Financials,Turkey,Sibel Gokalp,Financials,Other Financials,Turkey,,,6.54,0.41,2.26,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3417987040,20/06/2019,20/06/2019,0.72,Lleida Networks Serveis Telematics SL,Telecommunications,Wireless,Spain,Eiffel Investment Group SAS,Financials,Asset Management,France,,,12.36,1.68,16.04,Telecommunications,Public,,"2,019.00"
3418567040,20/06/2019,20/06/2019,6.40,MATIKA SPA,High Technology,IT Consulting & Services,Italy,Wiit SpA,High Technology,IT Consulting & Services,Italy,,Deloitte & Touche,7.16,0.85,9.72,Business Services,Private,,"2,019.00"
3424080040,20/06/2019,20/06/2019,10.00,Marangoni Meccanica SPA,Industrials,Machinery,Italy,Investor Group,Financials,Other Financials,Italy,,,18.20,-3.95,15.67,Machinery,Private,,"2,019.00"
3417687040,19/06/2019,19/06/2019,0.67,IMPACT Silver Corp,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,8.15,-2.22,15.84,Mining,Public,,"2,019.00"
3417198040,18/06/2019,18/06/2019,0.09,Prospera Energy Inc,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.80,0.50,4.91,Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3418988040,17/06/2019,17/06/2019,2.50,Ecupharma Srl,Healthcare,Pharmaceuticals,Italy,Adamed Pharma SA,Healthcare,Pharmaceuticals,Poland,,,12.60,0.44,17.58,Drugs,Private,,"2,019.00"
3420810040,17/06/2019,17/06/2019,1.06,AnalytixInsight Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.19,-0.92,18.32,Prepackaged Software,Public,,"2,019.00"
3441777040,17/06/2019,17/06/2019,4.48,Doxa AB,Healthcare,Healthcare Equipment & Supplies,Sweden,Adma Forvaltnings AB,Financials,Other Financials,Sweden,,,1.69,1.03,14.65,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,019.00"
3430329040,14/06/2019,14/06/2019,3.94,Yleiselektroniikka Oyj,High Technology,Electronics,Finland,Preato Capital AB,Financials,Alternative Financial Investments,Sweden,Sisu Partners Oy,,58.23,4.55,19.94,Wholesale Trade-Durable Goods,Public,,"2,019.00"
3430333040,14/06/2019,14/06/2019,11.55,Yleiselektroniikka Oyj,High Technology,Electronics,Finland,Preato Capital AB,Financials,Alternative Financial Investments,Sweden,,,58.23,4.55,19.94,Wholesale Trade-Durable Goods,Public,,"2,019.00"
3417856020,13/06/2019,13/06/2019,2.17,FindEx.com Inc,Retail,Internet and Catalog Retailing,United States,Creditors,Financials,Other Financials,United States,,,0.29,-0.62,6.64,Miscellaneous Retail Trade,Public,,"2,019.00"
3411789040,11/06/2019,11/06/2019,0.82,Relevium Technologies Inc,Financials,Other Financials,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.69,-1.79,7.34,Retail Trade-Food Stores,Public,,"2,019.00"
3417875020,11/06/2019,12/06/2019,0.60,Boardwalktech Software Corp,High Technology,Software,United States,Creditors,Financials,Other Financials,United States,,,4.38,-4.46,7.82,Prepackaged Software,Public,,"2,019.00"
3409696040,10/06/2019,10/06/2019,7.09,Fruttital Cagliari SRL,Consumer Staples,Food and Beverage,Italy,Fruttital Distribuzione Holding SrL,Retail,Food & Beverage Retailing,Italy,,,15.39,0.66,8.79,Wholesale Trade-Nondurable Goods,Private,,"2,019.00"
3409579040,07/06/2019,07/06/2019,0.27,Ellipsiz Communications Ltd,Telecommunications,Other Telecom,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,4.89,-1.89,4.21,Telecommunications,Public,,"2,019.00"
3405930040,06/06/2019,06/06/2019,1.86,Centrum Nowoczesnych Technologii SA,Industrials,Building/Construction & Engineering,Poland,Centrum Nowoczesnych Technologii SA,Industrials,Building/Construction & Engineering,Poland,,,344.87,14.15,13.40,Construction Firms,Public,,"2,019.00"
3411894020,06/06/2019,06/06/2019,0.66,Frankly Inc,High Technology,Software,United States,SOL Global Investments Corp,Financials,Other Financials,Canada,,,1.67,-1.72,13.65,Prepackaged Software,Public,,"2,019.00"
3415730040,06/06/2019,06/06/2019,6.00,Sensire Ltd,Consumer Products and Services,Professional Services,Finland,Yokogawa Electric Corp,Industrials,Other Industrials,Japan,,,1.49,-0.02,16.71,Prepackaged Software,Private,,"2,019.00"
3415182020,05/06/2019,05/06/2019,0.24,AHAlife Holdings Ltd,Retail,Internet and Catalog Retailing,United States,Early Force Pty Ltd,Financials,Other Financials,Australia,,,3.79,-2.17,1.63,Miscellaneous Retail Trade,Public,,"2,019.00"
3401681040,31/05/2019,31/05/2019,0.23,Marksmen Energy Inc,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.62,-0.27,1.35,Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3425525040,31/05/2019,31/05/2019,1.37,Pond Technologies Holdings Inc,Consumer Staples,Agriculture & Livestock,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,3.67,-2.54,12.29,"Agriculture, Forestry, and Fishing",Public,,"2,019.00"
3496578040,31/05/2019,31/05/2019,0.75,Resbud SE,Industrials,Building/Construction & Engineering,Estonia,Investor Group,Financials,Other Financials,Estonia,,,0.12,-0.44,0.85,Construction Firms,Public,,"2,019.00"
3398117040,28/05/2019,28/05/2019,0.56,WDB SA,Financials,Insurance,Poland,Investor Group,Financials,Other Financials,Poland,,,4.81,0.51,5.49,Insurance,Private,,"2,019.00"
3411923040,28/05/2019,28/05/2019,0.66,Hill Street Beverage Co Inc,Consumer Staples,Food and Beverage,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.96,-2.92,11.28,Food and Kindred Products,Public,,"2,019.00"
3397674040,24/05/2019,24/05/2019,1.95,HTC Purenergy Inc,Materials,Chemicals,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.18,-1.18,6.43,Chemicals and Allied Products,Public,,"2,019.00"
3397099040,23/05/2019,23/05/2019,7.20,Formecal SL,Industrials,Aerospace & Defense,Spain,Amper SA,High Technology,IT Consulting & Services,Spain,,,4.37,2.59,5.35,"Measuring, Medical, Photo Equipment; Clocks",Private,,"2,019.00"
3396299040,21/05/2019,21/05/2019,2.25,Coheris SA,High Technology,Software,France,ChapsVision SASU,High Technology,Software,France,,,13.82,3.58,8.51,Prepackaged Software,Public,,"2,019.00"
3396437040,21/05/2019,21/05/2019,5.96,Coheris SA,High Technology,Software,France,ChapsVision SASU,High Technology,Software,France,Cambon Partners,,13.82,3.58,9.01,Prepackaged Software,Public,,"2,019.00"
3398575040,20/05/2019,20/05/2019,2.15,Rekard Hajtomu- es Gepgyarto Kft,Industrials,Machinery,Hungary,Raba Automotive Holding Plc,Industrials,Automobiles & Components,Hungary,,,12.05,0.02,9.41,Machinery,Private,,"2,019.00"
3397340040,17/05/2019,17/05/2019,0.67,RESAAS Services Inc,High Technology,Internet Software & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.49,-2.38,8.85,Prepackaged Software,Public,,"2,019.00"
3944849040,14/05/2019,14/05/2019,1.62,Rekard Hajtomu- es Gepgyarto Kft,Industrials,Machinery,Hungary,Raba Automotive Holding Plc,Industrials,Automobiles & Components,Hungary,,,12.05,0.02,2.97,Machinery,Private,,"2,019.00"
3392625040,13/05/2019,13/05/2019,1.20,Meware Srl,High Technology,IT Consulting & Services,Italy,DigiTouch SpA,Media and Entertainment,Advertising & Marketing,Italy,,,6.60,0.43,3.34,Business Services,Private,,"2,019.00"
3392653040,13/05/2019,23/05/2022,0.39,Meware Srl,High Technology,IT Consulting & Services,Italy,DigiTouch SpA,Media and Entertainment,Advertising & Marketing,Italy,,,7.89,0.66,1.41,Business Services,Private,,"2,019.00"
3397308040,13/05/2019,13/05/2019,4.08,Vapen MJ Ventures Corp,Real Estate,Non Residential,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,18.84,6.48,8.02,"Agriculture, Forestry, and Fishing",Public,,"2,019.00"
3387333040,10/05/2019,10/05/2019,5.03,JUBMES banka a.d. Beograd,Financials,Banks,Serbia,Alta Pay Group Doo,Financials,Other Financials,Serbia,,,6.10,4.17,17.63,"Commercial Banks, Bank Holding Companies",Public,,"2,019.00"
3392233040,10/05/2019,10/05/2019,0.50,Renoworks Software Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,2.76,-0.14,6.89,Prepackaged Software,Public,,"2,019.00"
3397761040,10/05/2019,10/05/2019,15.78,EU Supply PLC,High Technology,E-commerce / B2B,United Kingdom,Mercell Holding AS,High Technology,Computers & Peripherals,Norway,Shore Capital & Corporate Ltd|Stockdale Securities Ltd,Liberum Capital,5.72,0.81,15.79,Business Services,Public,,"2,019.00"
3392721040,09/05/2019,09/05/2019,4.96,Frequentis AG,High Technology,Software,Austria,B & C Innovation Investments GmbH,Financials,Alternative Financial Investments,Austria,,,293.87,21.59,2.18,Prepackaged Software,Private,,"2,019.00"
3389581040,08/05/2019,08/05/2019,0.27,Peekaboo Beans Inc,Retail,Apparel Retailing,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.42,-1.95,2.34,Retail Trade-General Merchandise and Apparel,Public,,"2,019.00"
3389230040,07/05/2019,07/05/2019,0.20,Agromep SA,Industrials,Machinery,Poland,Agromep SA,Industrials,Machinery,Poland,,,6.52,0.22,2.60,Wholesale Trade-Durable Goods,Public,,"2,019.00"
3388718040,06/05/2019,06/05/2019,1.42,Uniserve Communications Corp,High Technology,Internet Software & Services,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,7.93,-1.86,3.29,Business Services,Public,,"2,019.00"
3388127040,03/05/2019,03/05/2019,0.47,Zenith Energy Ltd,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,4.39,-4.41,6.96,Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3388789040,03/05/2019,03/05/2019,8.81,Trans-Siberian Gold PLC,Materials,Metals & Mining,Russia,Trans-Siberian Gold PLC,Materials,Metals & Mining,Russia,,,39.09,16.77,6.02,Mining,Public,,"2,019.00"
3398859040,30/04/2019,30/04/2019,0.22,Foodquote Srl,Retail,Internet and Catalog Retailing,Italy,Societa Editoriale Il Fatto SpA,Media and Entertainment,Publishing,Italy,,,0.25,-0.33,0.64,Business Services,Private,,"2,019.00"
3399146040,30/04/2019,30/04/2019,0.32,Environmental Waste International Inc,Industrials,Machinery,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.13,-0.64,8.92,Machinery,Public,,"2,019.00"
3389840040,26/04/2019,26/04/2019,1.67,MedX Health Corp,Healthcare,Healthcare Equipment & Supplies,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.70,-2.73,14.44,"Measuring, Medical, Photo Equipment; Clocks",Public,,"2,019.00"
3385522040,25/04/2019,25/04/2019,20.64,Sempa SARL,Industrials,Machinery,France,Photo-Me International PLC,Consumer Products and Services,Other Consumer Products,United Kingdom,,,9.38,0.48,13.94,Machinery,Private,,"2,019.00"
3385309040,24/04/2019,24/04/2019,3.50,4Mobility SA,High Technology,Internet Software & Services,Poland,PGE Nowa Energia Sp z o o,Energy and Power,Other Energy & Power,Poland,,,1.00,-0.67,3.28,Prepackaged Software,Public,,"2,019.00"
3385456040,24/04/2019,24/04/2019,1.75,Capital Partners SA,Financials,Asset Management,Poland,Capital Partners SA,Financials,Asset Management,Poland,,,0.81,-4.57,7.55,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3385976040,23/04/2019,23/04/2019,0.02,BamStroiMekhanizatsiia PAO,Industrials,Building/Construction & Engineering,Russia,Upravliaiushchaiia kompaniia BamStroiMekhanizatsiia OOO,Industrials,Transportation & Infrastructure,Russia,,,92.60,5.14,11.64,Construction Firms,Public,,"2,019.00"
3385890040,22/04/2019,22/04/2019,1.60,Gazprom Gazoraspredelenie Nizhnii Novgorod PAO,Energy and Power,Oil & Gas,Russia,Gazprom Gazoraspredelenie AO,Energy and Power,Oil & Gas,Russia,,,68.58,18.39,16.44,"Electric, Gas, and Water Distribution",Public,,"2,019.00"
3389685040,22/04/2019,22/04/2019,1.41,Venzee Technologies Inc,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.21,-4.61,3.96,Prepackaged Software,Public,,"2,019.00"
3390673020,22/04/2019,22/04/2019,1.00,Permex Petroleum Corp,Energy and Power,Oil & Gas,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,1.02,-0.92,4.79,Oil and Gas; Petroleum Refining,Public,,"2,019.00"
3384271040,19/04/2019,19/04/2019,2.41,Info Yatirim Menkul Degerler AS,Financials,Other Financials,Turkey,Sibel Gokalp,Financials,Other Financials,Turkey,,,6.54,0.41,2.28,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3383618040,18/04/2019,18/04/2019,0.38,Helijet International Inc,Industrials,Transportation & Infrastructure,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,Evans & Evans Inc,,26.74,0.94,3.17,Air Transportation and Shipping,Public,,"2,019.00"
3384577040,18/04/2019,18/04/2019,2.08,Guildprime Specialist Contracts Ltd,Consumer Products and Services,Professional Services,United Kingdom,MBH Corp PLC,Financials,Other Financials,United Kingdom,,,6.07,0.25,1.88,Business Services,Private,,"2,019.00"
3409772040,17/04/2019,17/04/2019,0.64,YDX Innovation Corp,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.24,-0.39,7.65,Prepackaged Software,Public,,"2,019.00"
3382502040,16/04/2019,16/04/2019,2.33,Scientific Brain Training SA,High Technology,Software,France,HuManCo SARL,Financials,Other Financials,France,,,13.62,1.01,11.21,Prepackaged Software,Public,,"2,019.00"
3398618040,15/04/2019,15/04/2019,0.36,Datable Technology Corp,High Technology,Software,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.90,-1.18,2.14,Prepackaged Software,Public,,"2,019.00"
3380851040,11/04/2019,11/04/2019,1.55,Cherrypick Games SA,High Technology,Software,Poland,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.12,-1.41,17.97,Prepackaged Software,Public,,"2,019.00"
3380564040,10/04/2019,10/04/2019,16.21,Porta Communications PLC,Media and Entertainment,Advertising & Marketing,United Kingdom,SEC SpA,Consumer Products and Services,Legal Services,Italy,Grant Thornton|N+1 Singer Capital Markets Ltd,Arden Partners Ltd,39.88,2.21,16.94,Business Services,Public,,"2,019.00"
3382053040,09/04/2019,09/04/2019,0.73,Portobello SpA,High Technology,E-commerce / B2B,Italy,Portobello SpA,High Technology,E-commerce / B2B,Italy,,,21.49,3.40,14.45,Miscellaneous Retail Trade,Public,,"2,019.00"
3411609040,09/04/2019,09/04/2019,0.80,CriticalControl Solutions Corp,High Technology,Software,Canada,2209021 Ontario Inc,Financials,Other Financials,Canada,Deloitte & Touche,,17.59,0.47,12.00,Prepackaged Software,Private,,"2,019.00"
3376297040,03/04/2019,04/04/2019,6.72,Setrab AB,Industrials,Other Industrials,Sweden,Zhejiang Yinlun Machinery Co Ltd,Industrials,Other Industrials,China (Mainland),,,9.76,0.46,6.60,Metal and Metal Products,Private,,"2,019.00"
3376288040,29/03/2019,29/03/2019,0.08,Reino Capital SA,Financials,Asset Management,Poland,Investor Group,Financials,Other Financials,Poland,,,0.15,-0.06,14.17,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3372620040,28/03/2019,28/03/2019,4.71,SSAS Solutions (UK) Ltd,Financials,Asset Management,United Kingdom,Mattioli Woods PLC,Financials,Asset Management,United Kingdom,,Canaccord Genuity Ltd|N+1 Singer Capital Markets Ltd,1.14,0.82,4.08,Insurance,Private,,"2,019.00"
3388194040,28/03/2019,28/03/2019,0.50,Wonderfilm Media Corp,Media and Entertainment,Motion Pictures / Audio Visual,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,7.54,-0.88,5.93,Motion Picture Production and Distribution,Public,,"2,019.00"
3370593040,25/03/2019,25/03/2019,14.66,Espial Group Inc,High Technology,Software,Canada,Enghouse Systems Ltd,High Technology,Software,Canada,Paradigm Capital Inc|Mooreland Partners LLC,,17.05,-1.53,14.69,Prepackaged Software,Public,,"2,019.00"
3369556040,22/03/2019,21/06/2019,3.70,Asvel Basketball SASP,Media and Entertainment,Recreation & Leisure,France,Olympique Lyonnais Groupe SA,Media and Entertainment,Recreation & Leisure,France,,,5.79,-1.32,12.42,Amusement and Recreation Services,Private,,"2,019.00"
3370922040,21/03/2019,17/06/2019,13.83,Quadron Cannatech Corp,Financials,Other Financials,Canada,World Class Extractions Inc,Consumer Products and Services,Other Consumer Products,Canada,M Partners Inc,First Republic Capital Corp|Canaccord Genuity,2.38,-3.65,13.07,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3367126040,19/03/2019,16/11/2021,1.60,4side Srl,High Technology,Computers & Peripherals,Italy,Esprinet SpA,High Technology,Computers & Peripherals,Italy,,,16.32,1.33,0.56,Wholesale Trade-Durable Goods,Private,,"2,019.00"
3394898040,19/03/2019,19/03/2019,0.26,Saint Jean Carbon Inc,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,0.28,-0.58,1.64,Mining,Public,,"2,019.00"
3427211040,19/03/2019,19/03/2019,0.46,Slaskie Kamienice SA,Real Estate,REITs,Poland,Sirra Inwestycje Sp z o o,Financials,Other Financials,Poland,,,4.59,3.29,10.65,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3367096040,18/03/2019,18/03/2019,1.00,Gamestream SAS,High Technology,Computers & Peripherals,France,2CRSI SA,High Technology,Computers & Peripherals,France,,,0.48,-1.16,8.03,Business Services,Private,,"2,019.00"
3367162040,18/03/2019,18/03/2019,0.28,Rhea Girisim Sermayesi Yatirim Ortakligi AS,Financials,Alternative Financial Investments,Turkey,Umut Utkan,Financials,Other Financials,Turkey,,,0.43,0.54,3.72,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3366839040,15/03/2019,15/03/2019,1.54,Waymark Solutions AB,High Technology,IT Consulting & Services,Sweden,Time People Group AB,Consumer Products and Services,Professional Services,Sweden,,,3.68,0.52,2.65,Business Services,Private,,"2,019.00"
3368962040,15/03/2019,15/03/2019,0.76,Agile Content SA,High Technology,Internet Software & Services,Spain,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,8.82,0.95,14.29,Prepackaged Software,Public,,"2,019.00"
3384414040,15/03/2019,19/04/2019,0.40,Svetlina AD,Consumer Staples,Household & Personal Products,Bulgaria,Synergon Holding AD,Financials,Other Financials,Bulgaria,,,0.38,0.08,1.21,Electronic and Electrical Equipment,Public,,"2,019.00"
3364645040,12/03/2019,12/03/2019,10.40,Postifruits SAS,Consumer Staples,Food and Beverage,France,AZ France SA,Consumer Staples,Food and Beverage,France,,PricewaterhouseCoopers,0.56,0.46,8.57,Wholesale Trade-Nondurable Goods,Private,,"2,019.00"
3398789040,11/03/2019,15/04/2019,0.90,ISWT 2.0 SAS,Industrials,Building/Construction & Engineering,France,Otovo AS,High Technology,Semiconductors,Norway,,,0.61,0.04,1.06,Construction Firms,Private,,"2,019.00"
3384816040,05/03/2019,05/03/2019,2.65,Havilah Mining Corp,Materials,Metals & Mining,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,Canaccord Genuity Corp,,11.50,-7.95,3.18,Mining,Public,,"2,019.00"
3359482040,04/03/2019,04/03/2019,13.23,Delivra Corp,Healthcare,Biotechnology,Canada,Harvest One Cannabis Inc,Healthcare,Pharmaceuticals,Canada,Canaccord Genuity,PricewaterhouseCoopers,3.23,-1.51,13.28,Drugs,Public,,"2,019.00"
3420470040,04/03/2019,04/03/2019,3.31,Canvass Ventures Ltd,Financials,Other Financials,Canada,Undisclosed Acquiror,Financials,Brokerage,Unknown,,,5.36,0.37,3.77,Investment & Commodity Firms/Dealers/Exchanges,Public,,"2,019.00"
3359185040,28/02/2019,28/02/2019,15.95,Viralize Srl,Media and Entertainment,Advertising & Marketing,Italy,Vetrya SpA,High Technology,Software,Italy,Fineurop Soditic,,14.23,2.48,15.44,Business Services,Private,,"2,019.00"
